datetime,sales,time,weekday,holiday
2018-08-01 11:15:00,44,675,0,0
2018-08-01 11:30:00,127,690,0,0
2018-08-01 11:45:00,148,705,0,0
2018-08-01 12:00:00,142,720,0,0
2018-08-01 12:15:00,43,735,0,0
2018-08-01 12:30:00,68,750,0,0
2018-08-01 12:45:00,55,765,0,0
2018-08-01 13:00:00,88,780,0,0
2018-08-01 13:15:00,106,795,0,0
2018-08-01 13:30:00,111,810,0,0
2018-08-01 13:45:00,113,825,0,0
2018-08-01 14:00:00,67,840,0,0
2018-08-01 14:15:00,0,855,0,0
2018-08-01 14:30:00,0,870,0,0
2018-08-01 14:45:00,0,885,0,0
2018-08-01 15:00:00,0,900,0,0
2018-08-01 15:15:00,0,915,0,0
2018-08-01 15:30:00,0,930,0,0
2018-08-01 15:45:00,0,945,0,0
2018-08-01 16:00:00,0,960,0,0
2018-08-01 16:15:00,0,975,0,0
2018-08-01 16:30:00,0,990,0,0
2018-08-01 16:45:00,0,1005,0,0
2018-08-01 17:00:00,0,1020,0,0
2018-08-01 17:15:00,0,1035,0,0
2018-08-01 17:30:00,0,1050,0,0
2018-08-01 17:45:00,0,1065,0,0
2018-08-01 18:00:00,0,1080,0,0
2018-08-01 18:15:00,0,1095,0,0
2018-08-01 18:30:00,0,1110,0,0
2018-08-01 18:45:00,0,1125,0,0
2018-08-01 19:00:00,0,1140,0,0
2018-08-01 19:15:00,0,1155,0,0
2018-08-01 19:30:00,0,1170,0,0
2018-08-01 19:45:00,0,1185,0,0
2018-08-01 20:00:00,0,1200,0,0
2018-08-01 20:15:00,0,1215,0,0
2018-08-01 20:30:00,0,1230,0,0
2018-08-01 20:45:00,0,1245,0,0
2018-08-01 21:00:00,0,1260,0,0
2018-08-01 21:15:00,0,1275,0,0
2018-08-01 21:30:00,0,1290,0,0
2018-08-01 21:45:00,0,1305,0,0
2018-08-01 22:00:00,0,1320,0,0
2018-08-01 22:15:00,0,1335,0,0
2018-08-01 22:30:00,0,1350,0,0
2018-08-01 22:45:00,0,1365,0,0
2018-08-01 23:00:00,0,1380,0,0
2018-08-01 23:15:00,0,1395,0,0
2018-08-01 23:30:00,0,1410,0,0
2018-08-01 23:45:00,0,1425,0,0
2018-09-01 00:00:00,0,0,1,0
2018-09-01 00:15:00,0,15,1,0
2018-09-01 00:30:00,0,30,1,0
2018-09-01 00:45:00,0,45,1,0
2018-09-01 01:00:00,0,60,1,0
2018-09-01 01:15:00,0,75,1,0
2018-09-01 01:30:00,0,90,1,0
2018-09-01 01:45:00,0,105,1,0
2018-09-01 02:00:00,0,120,1,0
2018-09-01 02:15:00,0,135,1,0
2018-09-01 02:30:00,0,150,1,0
2018-09-01 02:45:00,0,165,1,0
2018-09-01 03:00:00,0,180,1,0
2018-09-01 03:15:00,0,195,1,0
2018-09-01 03:30:00,0,210,1,0
2018-09-01 03:45:00,0,225,1,0
2018-09-01 04:00:00,0,240,1,0
2018-09-01 04:15:00,0,255,1,0
2018-09-01 04:30:00,0,270,1,0
2018-09-01 04:45:00,0,285,1,0
2018-09-01 05:00:00,0,300,1,0
2018-09-01 05:15:00,0,315,1,0
2018-09-01 05:30:00,0,330,1,0
2018-09-01 05:45:00,0,345,1,0
2018-09-01 06:00:00,0,360,1,0
2018-09-01 06:15:00,0,375,1,0
2018-09-01 06:30:00,0,390,1,0
2018-09-01 06:45:00,0,405,1,0
2018-09-01 07:00:00,0,420,1,0
2018-09-01 07:15:00,0,435,1,0
2018-09-01 07:30:00,0,450,1,0
2018-09-01 07:45:00,0,465,1,0
2018-09-01 08:00:00,0,480,1,0
2018-09-01 08:15:00,0,495,1,0
2018-09-01 08:30:00,0,510,1,0
2018-09-01 08:45:00,0,525,1,0
2018-09-01 09:00:00,0,540,1,0
2018-09-01 09:15:00,0,555,1,0
2018-09-01 09:30:00,0,570,1,0
2018-09-01 09:45:00,0,585,1,0
2018-09-01 10:00:00,0,600,1,0
2018-09-01 10:15:00,0,615,1,0
2018-09-01 10:30:00,0,630,1,0
2018-09-01 10:45:00,0,645,1,0
2018-09-01 11:00:00,0,660,1,0
2018-09-01 11:15:00,40,675,1,0
2018-09-01 11:30:00,61,690,1,0
2018-09-01 11:45:00,96,705,1,0
